Male_Female,Event,Name,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6
Male,Hammer,Alex Larson,62.03,0.00,62.79,61.46,0.00,0.00
Male,Hammer,Isaac Dan,60.70,61.54,0.00,,,
Male,Shot put,Willy Irwin,18.85,0.00,0.00,18.79,19.03,19.57
Male,Shot put,Eric Werskey,0.00,19.07,0.00,0.00,19.49,0.00
Male,Shot put,Nicholas Ponzio,18.90,0.00,0.00,18.28,18.69,19.19
Male,Shot put,Nick Vena,19.13,19.05,0.00,0.00,0.00,18.90
Male,Shot put,Josh Freeman,19.01,19.07,0.00,0.00,19.03,19.09
Male,Shot put,Ashinia Miller,18.23,18.64,18.67,0.00,0.00,0.00
Male,Shot put,Aaron Castle,18.15,0.00,0.00,18.30,0.00,18.23
Male,Shot put,Mario Cota Castro,17.76,17.83,0.00,0.00,0.00,18.06
Male,Shot put,Nicholas Scarvelis,0.00,0.00,0.00,,,
Female,Hammer,Sultana Frizell,71.61,0.00,72.42,72.42,72.52,69.71
Female,Hammer,Jeneva McCall-Stevens,66.10,69.37,69.90,70.58,71.46,69.94
Female,Hammer,Britney Henry,71.08,70.04,0.00,68.21,70.04,0.00
Female,Hammer,Gwendolyn Berry,68.36,67.68,68.38,68.97,69.79,67.94
Female,Hammer,Kristin Smith,0.00,65.12,63.31,67.99,67.54,67.18
Female,Hammer,Lauren Stuart,66.88,65.30,64.57,0.00,65.31,65.80
Female,Hammer,Heather Steacy,65.97,0.00,65.45,64.86,66.82,64.27
Female,Hammer,Taylor Bush,64.66,63.30,0.00,62.04,64.00,0.00
Female,Hammer,DeAnna Price,62.63,64.52,62.51,0.00,0.00,63.44
Female,Hammer,Jillian Weir,62.49,0.00,63.91,0.00,0.00,0.00
Female,Hammer,Ida Storm,57.99,0.00,62.61,0.00,0.00,0.00
Female,Hammer,Jade Grace,60.85,62.48,61.35,0.00,0.00,0.00
Female,Hammer,Meagan McKee,59.45,58.65,58.97,0.00,0.00,0.00
Female,Hammer,Emily Hunsucker,56.69,0.00,58.31,0.00,0.00,0.00
Female,Hammer,Shelby Ashe,0.00,0.00,0.00,0.00,0.00,0.00
Female,Javelin,Ariana Ince,55.79,54.71,59.84,51.25,54.80,0.00
Female,Javelin,Jucilene Lima,57.35,59.80,0.00,56.33,0.00,0.00
Female,Javelin,Brittany Borman,56.25,57.13,0.00,54.80,0.00,54.72
Female,Javelin,Lillian Seibert,55.55,51.33,52.06,50.02,0.00,50.53
Female,Javelin,Hannah Carson,48.24,53.07,54.42,54.11,53.39,51.91
Female,Javelin,Leigh Petranoff,48.88,46.88,0.00,50.58,48.74,52.70
Female,Javelin,Abigail Gomez,0.00,51.89,50.43,0.00,49.44,0.00
